Tanggal,Nama Pelanggan,Harga,Status,Status Pembayaran,Tipe Perjalanan,Length,Recency,Frequency,Monetary
2020-01-20,BOo,0.10576923076923077,DEAL,LUNAS,Drop,1.0,0.24120956399437413,0.012987012987012988,0.013874066168623266
2020-01-21,PSa,0.39743589743589747,DEAL,LUNAS,PP,0.9992967651195499,0.13361462728551338,0.12987012987012989,0.2291376734258271
2020-01-22,GRs,0.09615384615384616,DEAL,LUNAS,Drop,0.9985935302390998,0.13572433192686356,0.03896103896103896,0.0535752401280683
2020-01-27,SKa,0.4230769230769231,DEAL,LUNAS,PP,0.9950773558368495,0.13502109704641352,0.06493506493506493,0.087940234791889
2020-01-28,YCn,0.09615384615384616,DEAL,LUNAS,Drop,0.9943741209563994,0.0,1.0000000000000002,0.7625592315901815
2020-02-06,ILP,0.26282051282051283,DEAL,LUNAS,PP,0.9880450070323488,1.0,0.0,0.017502668089647812
2020-02-11,PKa,0.16025641025641027,DEAL,LUNAS,PP,0.9845288326300984,0.03938115330520394,0.05194805194805195,0.05940021344717182
2020-02-11,IAs,0.07692307692307693,DEAL,LUNAS,PP,0.9845288326300984,0.37060478199718705,0.025974025974025972,0.035218783351120594
2020-02-12,SGG,0.16346153846153846,DEAL,LUNAS,PP,0.9838255977496484,0.9957805907172996,0.0,0.010885805763073639
2020-02-12,PGa,0.16666666666666669,DEAL,LUNAS,PP,0.9838255977496484,0.048523206751054856,0.03896103896103896,0.09794236926360726
2020-02-14,TDO,0.06410256410256411,DEAL,LUNAS,PP,0.9824191279887482,0.052039381153305204,0.05194805194805195,0.03564567769477055
2020-02-28,STI,0.16025641025641027,DEAL,LUNAS,PP,0.9725738396624473,0.9845288326300985,0.012987012987012988,0.021344717182497332
2020-03-03,YCa,0.15384615384615385,DEAL,LUNAS,Drop,0.969760900140647,0.10267229254571027,0.09090909090909091,0.08409818569903948
2020-03-03,ISn,0.34615384615384615,DEAL,LUNAS,PP,0.969760900140647,0.12447257383966245,0.15584415584415584,0.2215581643543223
2020-03-04,IMa,0.11538461538461539,DEAL,LUNAS,PP,0.9690576652601969,0.06188466947960619,0.2077922077922078,0.18527214514407683
2020-03-05,PCP,0.14743589743589744,DEAL,LUNAS,PP,0.9683544303797468,0.980309423347398,0.0,0.009818569903948773
2020-03-07,BTs,0.19230769230769232,DEAL,LUNAS,PP,0.9669479606188467,0.3649789029535865,0.03896103896103896,0.04610458911419424
2020-03-08,BTr,0.0,DEAL,LUNAS,Drop,0.9662447257383966,0.9781997187060478,0.0,0.0
2020-03-13,IEr,0.3525641025641026,DEAL,LUNAS,PP,0.9627285513361462,0.9746835443037974,0.0,0.023479188900747065
2020-03-23,BAn,0.14102564102564102,DEAL,LUNAS,Drop,0.9556962025316456,0.0021097046413502112,0.2207792207792208,0.1543223052294557
2020-05-07,BFy,0.12820512820512822,DEAL,LUNAS,Drop,0.9240506329113923,0.08157524613220817,0.012987012987012988,0.02198505869797225
2020-05-10,BKy,0.1185897435897436,DEAL,LUNAS,Drop,0.9219409282700421,0.41350210970464135,0.012987012987012988,0.015795090715048025
2020-05-29,BB),0.01282051282051282,DEAL,LUNAS,PP,0.9085794655414908,0.1490857946554149,0.03896103896103896,0.016435432230522944
2020-05-31,BAo,0.1185897435897436,DEAL,LUNAS,Drop,0.9071729957805907,0.052039381153305204,0.15584415584415584,0.1561067235859125
2020-07-27,BMD,0.1346153846153846,DEAL,LUNAS,PP,0.8670886075949367,0.02461322081575246,0.012987012987012988,0.016435432230522944
2020-09-23,ATl,0.01282051282051282,DEAL,LUNAS,PP,0.8263009845288326,0.01687763713080169,0.5974025974025975,0.6042262540021345
2020-10-05,BPo,0.14743589743589744,DEAL,LUNAS,PP,0.8178621659634318,0.011954992967651196,0.06493506493506493,0.07214514407684099
2020-10-13,ISd,0.30128205128205127,DEAL,LUNAS,PP,0.8122362869198312,0.12236286919831224,0.1168831168831169,0.16606189967982923
2020-10-15,BUR,0.24358974358974358,DEAL,LUNAS,Drop,0.8108298171589311,0.8227848101265823,0.0,0.01622198505869797
2020-10-26,A(),0.14102564102564102,DEAL,LUNAS,PP,0.8030942334739802,0.11392405063291139,0.09090909090909091,0.096051227321238
2020-10-28,BAi,0.25,DEAL,LUNAS,PP,0.8016877637130801,0.02039381153305204,0.2207792207792208,0.2448239060832444
2020-11-01,BMd,0.14102564102564102,DEAL,LUNAS,PP,0.7988748241912799,0.06821378340365682,0.07792207792207792,0.07940234791889007
2020-11-03,ILy,0.25641025641025644,DEAL,LUNAS,PP,0.7974683544303798,0.15752461322081576,0.03896103896103896,0.050373532550693705
2020-11-06,ISa,0.14743589743589744,DEAL,LUNAS,PP,0.7953586497890295,0.11884669479606189,0.18181818181818182,0.1496264674493063
2020-11-13,BAa,0.16666666666666669,DEAL,LUNAS,PP,0.790436005625879,0.06540084388185655,0.5844155844155845,0.5741942369263607
2020-11-26,BSo,0.11217948717948718,DEAL,LUNAS,PP,0.7812939521800281,0.035161744022503515,0.25974025974025977,0.29967982924226255
2020-11-28,BDi,0.14743589743589744,DEAL,LUNAS,PP,0.779887482419128,0.03867791842475387,0.05194805194805195,0.03287086446104589
2020-11-29,BAS,0.07051282051282051,DEAL,LUNAS,Drop,0.7791842475386779,0.012658227848101266,0.48051948051948057,0.7675560298826041
2020-11-29,BSe,0.1185897435897436,DEAL,LUNAS,Drop,0.7791842475386779,0.7911392405063291,0.012987012987012988,0.015795090715048025
